

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
 1890   1.48 -15.862 860.48 860.45  9.944   .000   .000   .000  3.450 10.675
 1900   1.47 -15.870 860.48 860.45  9.930   .000   .000   .000  3.394 10.671
 1910   1.46 -15.878 860.48 860.45  9.915   .000   .000   .000  3.337 10.667
 1920   1.45 -15.886 860.48 860.45  9.901   .000   .000   .000  3.281 10.664
 1930   1.44 -15.893 860.48 860.45  9.887   .000   .000   .000  3.225 10.660
 1940   1.43 -15.901 860.48 860.45  9.873   .000   .000   .000  3.169 10.657
 1950   1.42 -15.909 860.48 860.45  9.859   .000   .000   .000  3.113 10.653
 1960   1.41 -15.916 860.48 860.45  9.845   .000   .000   .000  3.058 10.650
 1970   1.41 -15.924 860.48 860.45  9.832   .000   .000   .000  3.002 10.646
 1980   1.40 -15.931 860.48 860.45  9.818   .000   .000   .000  2.947 10.643
 1990   1.39 -15.938 860.48 860.45  9.804   .000   .000   .000  2.891 10.639
 2000   1.38 -15.946 860.48 860.45  9.790   .000   .000   .000  2.836 10.636
