

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
 1400   2.20 -15.351 860.48 860.41 10.686 -4.102  -.622-10.613  6.426 10.866
 1410   2.18 -15.364 860.48 860.41 10.670 -4.229  -.733-10.772  6.362 10.862
 1420   2.16 -15.377 860.48 860.41 10.654 -4.357  -.845-10.931  6.298 10.858
 1430   2.14 -15.389 860.48 860.41 10.638 -4.484  -.956-11.090  6.235 10.854
 1440   2.12 -15.401 860.48 860.41 10.622 -4.611 -1.067-11.248  6.171 10.850
 1450   2.10 -15.414 860.48 860.41 10.606 -4.737 -1.178-11.406  6.108 10.846
 1460   2.08 -15.426 860.48 860.42 10.591 -4.863 -1.288-11.564  6.045 10.842
 1470   2.07 -15.438 860.48 860.42 10.575 -4.989 -1.399-11.721  5.982 10.838
 1480   2.05 -15.450 860.48 860.42 10.559 -5.115 -1.508-11.877  5.919 10.834
 1490   2.03 -15.462 860.48 860.42 10.543 -5.240 -1.618-12.034  5.857 10.830
 1500   2.01 -15.473 860.48 860.42 10.528 -5.365 -1.727-12.189  5.794 10.826
 1510   1.99 -15.485 860.48 860.42 10.512 -5.489 -1.836-12.345  5.732 10.822
 1520   1.98 -15.497 860.48 860.42 10.497 -5.613 -1.945-12.500  5.670 10.818
 1530   1.96 -15.508 860.48 860.42 10.481 -5.737 -2.054-12.655  5.608 10.814
 1540   1.94 -15.519 860.48 860.43 10.466 -5.861 -2.162-12.809  5.546 10.810
 1550   1.92 -15.531 860.48 860.43 10.450 -5.984 -2.270-12.963  5.484 10.806
 1560   1.91 -15.542 860.48 860.43 10.435 -6.107 -2.377-13.116  5.423 10.802
 1570   1.89 -15.553 860.48 860.43 10.420 -6.230 -2.485-13.270  5.362 10.799
 1580   1.87 -15.564 860.48 860.43 10.404 -6.352 -2.592-13.422  5.300 10.795
 1590   1.86 -15.575 860.48 860.43 10.389 -6.474 -2.699-13.575  5.239 10.791
 1600   1.84 -15.586 860.48 860.43 10.374 -6.596 -2.805-13.727  5.179 10.787
 1610   1.83 -15.596 860.48 860.43 10.359 -6.717 -2.912-13.878  5.118 10.783
 1620   1.81 -15.607 860.48 860.43 10.343 -6.838 -3.018-14.029  5.057 10.779
 1630   1.80 -15.617 860.48 860.43 10.328 -6.959 -3.123-14.180  4.997 10.776
 1640   1.78 -15.628 860.48 860.43 10.313 -7.080 -3.229-14.331  4.937 10.772
 1650   1.77 -15.638 860.48 860.44 10.298 -7.200 -3.334-14.481  4.877 10.768
 1660   1.75 -15.648 860.48 860.44 10.283 -7.320 -3.439-14.631  4.817 10.764
 1670   1.74 -15.658 860.48 860.44 10.268 -7.440 -3.544-14.780  4.757 10.761
 1680   1.72 -15.668 860.48 860.44 10.253 -7.559 -3.648-14.929  4.697 10.757
 1690   1.71 -15.678 860.48 860.44 10.238 -7.678 -3.753-15.077  4.638 10.753
